"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"0710045","150306","3014","52","916","5.676855895","52","100"
"0710046","150205","2004","163","1239","13.155770782","191","85.340314136"
"0710046","150205","2008","69","1239","5.569007263","69","100"
"0710046","150205","2009","68","1239","5.488297013","68","100"
"0710046","150205","2010","141","1239","11.380145278","141","100"
"0710046","150205","2011","17","1239","1.372074253","17","100"
"0710046","150205","2012","35","1239","2.824858757","35","100"
"0710046","150205","2018","46","1239","3.712671509","46","100"
"0710046","150205","3000","1","1239","0.08071025","102","0.980392156"
"0710046","150205","3003","24","1239","1.937046004","24","100"
"0710046","150205","3004","48","1239","3.874092009","51","94.117647058"
"0710046","150305","2001","4","1239","0.322841","9","44.444444444"
"0710046","150305","2002","11","1239","0.887812752","29","37.931034482"
"0710046","150305","2005","16","1239","1.291364003","48","33.333333333"
"0710046","150305","2006","10","1239","0.807102502","27","37.037037037"
"0710046","150306","1007","13","1239","1.049233252","56","23.214285714"
"0710046","150306","1008","6","1239","0.484261501","27","22.222222222"
"0710046","150306","1011","30","1239","2.421307506","33","90.909090909"
"0710046","150306","1012","6","1239","0.484261501","7","85.714285714"
"0710046","150306","1013","20","1239","1.614205004","20","100"
"0710046","150306","1014","31","1239","2.502017756","58","53.448275862"
"0710046","150306","1015","21","1239","1.694915254","25","84"
"0710046","150306","1016","12","1239","0.968523002","12","100"
"0710046","150306","1017","16","1239","1.291364003","16","100"
"0710046","150306","1018","28","1239","2.259887005","32","87.5"
"0710046","150306","1019","9","1239","0.726392251","9","100"
"0710046","150306","1020","22","1239","1.775625504","22","100"
"0710046","150306","1021","18","1239","1.452784503","18","100"
"0710046","150306","1022","32","1239","2.582728006","32","100"
"0710046","150306","1023","6","1239","0.484261501","6","100"
"0710046","150306","1024","11","1239","0.887812752","11","100"
"0710046","150306","3004","276","1239","22.276029055","470","58.723404255"
"0710046","150306","3005","1","1239","0.08071025","1","100"
"0710046","150306","3006","28","1239","2.259887005","28","100"
"0710047","150205","2013","64","1956","3.27198364","64","100"
"0710047","150205","2014","55","1956","2.81186094","55","100"
"0710047","150205","2016","4","1956","0.204498977","11","36.363636363"
"0710047","150304","1001","1","1956","0.051124744","60","1.666666666"
"0710047","150304","1007","2","1956","0.102249488","16","12.5"
"0710047","150304","2000","131","1956","6.697341513","131","100"
"0710047","150304","2001","20","1956","1.022494887","20","100"
"0710047","150304","2002","23","1956","1.17586912","23","100"
"0710047","150304","2003","35","1956","1.789366053","35","100"
"0710047","150304","2004","39","1956","1.99386503","39","100"
"0710047","150304","2005","18","1956","0.920245398","18","100"
"0710047","150304","2006","8","1956","0.408997955","8","100"
"0710047","150304","2007","12","1956","0.613496932","12","100"
"0710047","150304","2008","25","1956","1.278118609","25","100"
"0710047","150304","2009","18","1956","0.920245398","18","100"
"0710047","150304","2010","43","1956","2.198364008","43","100"
"0710047","150304","2011","1","1956","0.051124744","1","100"
"0710047","150304","2012","189","1956","9.662576687","189","100"
"0710047","150304","2013","13","1956","0.664621676","13","100"
"0710047","150304","2014","21","1956","1.073619631","21","100"
"0710047","150304","2015","37","1956","1.891615541","37","100"
"0710047","150304","2016","48","1956","2.45398773","48","100"
"0710047","150304","2017","35","1956","1.789366053","35","100"
"0710047","150304","2018","36","1956","1.840490797","38","94.736842105"
"0710047","150304","2019","90","1956","4.601226993","90","100"
"0710047","150304","2020","53","1956","2.709611451","53","100"
"0710047","150304","2021","28","1956","1.431492842","30","93.333333333"
"0710047","150304","2022","3","1956","0.153374233","3","100"
"0710047","150304","2023","37","1956","1.891615541","37","100"
"0710047","150304","2024","14","1956","0.715746421","16","87.5"
"0710047","150304","2025","64","1956","3.27198364","64","100"
"0710047","150304","3000","1","1956","0.051124744","138","0.724637681"
"0710047","150304","3009","1","1956","0.051124744","48","2.083333333"
"0710047","150304","3010","1","1956","0.051124744","52","1.923076923"
"0710047","150305","2000","504","1956","25.766871165","509","99.017681728"
"0710047","150305","2001","5","1956","0.255623721","9","55.555555555"
"0710047","150305","2002","18","1956","0.920245398","29","62.068965517"
"0710047","150305","2003","9","1956","0.460122699","9","100"
"0710047","150305","2004","72","1956","3.680981595","72","100"
"0710047","150305","2005","31","1956","1.584867075","48","64.583333333"
"0710047","150305","2006","17","1956","0.869120654","27","62.962962962"
"0710047","150305","4006","6","1956","0.306748466","28","21.428571428"
"0710047","150305","4008","33","1956","1.687116564","38","86.842105263"
"0710047","150305","4009","27","1956","1.380368098","27","100"
"0710047","150305","4010","35","1956","1.789366053","35","100"
"0710047","150305","4011","24","1956","1.226993865","26","92.307692307"
"0710047","150306","1007","5","1956","0.255623721","56","8.928571428"
"0710048","150205","2004","18","23","78.260869565","191","9.424083769"
"0710048","150205","3001","5","23","21.739130434","12","41.666666666"
"0710049","150305","1007","1","151","0.662251655","45","2.222222222"
"0710049","150305","1009","2","151","1.324503311","47","4.255319148"
"0710049","150306","3002","21","151","13.907284768","21","100"
"0710049","150306","3003","27","151","17.880794701","32","84.375"
"0710049","150306","3010","99","151","65.562913907","288","34.375"
"0710049","150306","3012","1","151","0.662251655","28","3.571428571"
"0710050","150100","1000","79","1035","7.632850241","79","100"
"0710050","150100","1003","3","1035","0.289855072","45","6.666666666"
"0710050","150100","1004","37","1035","3.574879227","37","100"
"0710050","150100","1005","8","1035","0.772946859","9","88.888888888"
"0710050","150100","1006","20","1035","1.932367149","20","100"
"0710050","150100","1009","93","1035","8.985507246","93","100"
"0710050","150100","1010","11","1035","1.062801932","11","100"
"0710050","150100","1011","40","1035","3.864734299","40","100"
"0710050","150100","1012","33","1035","3.188405797","33","100"
"0710050","150100","1013","30","1035","2.898550724","30","100"
"0710050","150100","1014","16","1035","1.545893719","16","100"
"0710050","150100","1016","23","1035","2.222222222","23","100"
"0710050","150100","1017","49","1035","4.734299516","49","100"
"0710050","150100","1018","51","1035","4.927536231","51","100"
"0710050","150203","2001","15","1035","1.449275362","17","88.235294117"
"0710050","150203","2006","1","1035","0.096618357","97","1.030927835"
"0710050","150203","2018","1","1035","0.096618357","12","8.333333333"
"0710050","150203","2019","1","1035","0.096618357","17","5.882352941"
"0710050","150203","2020","1","1035","0.096618357","4","25"
"0710050","150203","2022","2","1035","0.193236714","2","100"
"0710050","150204","3000","50","1035","4.830917874","50","100"
"0710050","150204","3001","34","1035","3.285024154","35","97.142857142"
"0710050","150204","3017","1","1035","0.096618357","10","10"
"0710050","150204","3019","45","1035","4.347826086","47","95.744680851"
"0710050","150204","3020","23","1035","2.222222222","23","100"
"0710050","150204","3022","1","1035","0.096618357","4","25"
"0710050","150205","2000","1","1035","0.096618357","86","1.162790697"
"0710050","150206","1000","1","1035","0.096618357","15","6.666666666"
"0710050","150206","1007","2","1035","0.193236714","2","100"
"0710050","150206","2002","203","1035","19.61352657","204","99.509803921"
"0710050","150206","2003","38","1035","3.671497584","38","100"
"0710050","150206","2004","5","1035","0.483091787","5","100"
"0710050","150206","2005","10","1035","0.966183574","13","76.923076923"
"0710050","150206","2006","3","1035","0.289855072","7","42.857142857"
"0710050","150206","2007","2","1035","0.193236714","3","66.666666666"
"0710050","150206","2008","20","1035","1.932367149","20","100"
"0710050","150206","2009","68","1035","6.570048309","68","100"
"0710050","150206","2010","9","1035","0.869565217","9","100"
"0710050","150206","2012","5","1035","0.483091787","57","8.771929824"
"0710051","150205","2000","66","111","59.459459459","86","76.744186046"
"0710051","150205","2001","9","111","8.108108108","9","100"
"0710051","150205","2002","13","111","11.711711711","13","100"
"0710051","150205","2003","2","111","1.801801801","2","100"
"0710051","150205","2004","3","111","2.702702702","191","1.570680628"
"0710051","150206","1000","14","111","12.612612612","15","93.333333333"
"0710051","150206","2002","1","111","0.9009009","204","0.490196078"
"0710051","150206","2005","3","111","2.702702702","13","23.076923076"
"0710052","150205","2004","1","1","100","191","0.523560209"
"0710053","150205","2000","9","9","100","86","10.465116279"
"0710054","150306","3003","4","13","30.769230769","32","12.5"
"0710054","150306","3004","7","13","53.846153846","470","1.489361702"
"0710054","150306","3010","2","13","15.384615384","288","0.694444444"
"0710055","150100","2019","1","14","7.142857142","1","100"
"0710055","150100","2020","7","14","50","25","28"
"0710055","150612","3033","6","14","42.857142857","50","12"
"0710056","150501","3005","2","2","100","235","0.851063829"
"0711001","151506","1010","84","2027","4.144055254","86","97.674418604"
"0711001","151701","1009","67","2027","3.305377405","108","62.037037037"
"0711001","151701","1010","83","2027","4.094721262","83","100"
"0711001","151701","1011","2","2027","0.098667982","88","2.272727272"
"0711001","151701","1015","64","2027","3.157375431","64","100"
"0711001","151701","1016","78","2027","3.848051307","78","100"
"0711001","151701","1017","12","2027","0.592007893","14","85.714285714"
"0711001","151701","1019","149","2027","7.350764676","149","100"
"0711001","151701","1020","38","2027","1.874691662","38","100"
"0711001","151701","2000","44","2027","2.170695609","44","100"
"0711001","151701","2001","36","2027","1.77602368","36","100"
"0711001","151701","2002","44","2027","2.170695609","44","100"
"0711001","151701","2003","30","2027","1.480019733","30","100"
"0711001","151701","2004","21","2027","1.036013813","21","100"
"0711001","151701","2005","39","2027","1.924025653","39","100"
"0711001","151701","2006","31","2027","1.529353724","31","100"
"0711001","151701","2007","9","2027","0.44400592","9","100"
"0711001","151701","2009","6","2027","0.296003946","6","100"
"0711001","151701","2010","37","2027","1.825357671","37","100"
"0711001","151701","2011","14","2027","0.690675875","14","100"
"0711001","151701","2012","49","2027","2.417365564","49","100"
"0711001","151701","2013","373","2027","18.401578687","373","100"
"0711001","151701","2014","20","2027","0.986679822","20","100"
"0711001","151702","1001","1","2027","0.049333991","34","2.94117647"
"0711001","151800","2003","1","2027","0.049333991","25","4"
"0711001","151800","2004","61","2027","3.009373458","61","100"
"0711001","151800","2005","33","2027","1.628021706","33","100"
"0711001","151800","2006","45","2027","2.2200296","45","100"
"0711001","151800","2007","50","2027","2.466699555","50","100"
"0711001","151800","2008","44","2027","2.170695609","44","100"
"0711001","151800","2009","60","2027","2.960039467","60","100"
"0711001","151800","2010","52","2027","2.565367538","52","100"
"0711001","151800","3007","1","2027","0.049333991","104","0.961538461"
"0711001","151800","4017","1","2027","0.049333991","79","1.265822784"
"0711001","151800","5000","1","2027","0.049333991","55","1.818181818"
"0711001","151800","5004","53","2027","2.614701529","53","100"
"0711001","151800","5005","56","2027","2.762703502","56","100"
"0711001","151800","5009","1","2027","0.049333991","1","100"
"0711001","151800","5010","45","2027","2.2200296","45","100"
"0711001","151800","5011","60","2027","2.960039467","60","100"
"0711001","151800","5012","48","2027","2.368031573","48","100"
"0711001","151800","5016","57","2027","2.812037493","57","100"
"0711001","151800","5017","27","2027","1.33201776","27","100"
"0711002","151800","1001","136","1263","10.768012668","232","58.620689655"
"0711002","151800","1002","46","1263","3.642121931","46","100"
"0711002","151800","1003","18","1263","1.425178147","18","100"
"0711002","151800","1004","35","1263","2.77117973","35","100"
"0711002","151800","1005","81","1263","6.413301662","81","100"
"0711002","151800","1006","20","1263","1.583531274","21","95.238095238"
"0711002","151800","1007","29","1263","2.296120348","29","100"
"0711002","151800","1008","42","1263","3.325415676","42","100"
"0711002","151800","1009","16","1263","1.266825019","16","100"
"0711002","151800","1010","35","1263","2.77117973","35","100"
"0711002","151800","1013","43","1263","3.40459224","43","100"
"0711002","151800","1014","35","1263","2.77117973","35","100"
"0711002","151800","1015","31","1263","2.454473475","31","100"
"0711002","151800","1016","21","1263","1.662707838","21","100"
"0711002","151800","1017","9","1263","0.712589073","9","100"
"0711002","151800","1018","10","1263","0.791765637","10","100"
"0711002","151800","1019","13","1263","1.029295328","13","100"
"0711002","151800","3001","69","1263","5.463182897","69","100"
"0711002","151800","3002","35","1263","2.77117973","35","100"
"0711002","151800","3003","45","1263","3.562945368","45","100"
"0711002","151800","3004","41","1263","3.246239113","41","100"
"0711002","151800","3005","12","1263","0.950118764","12","100"
"0711002","151800","3006","12","1263","0.950118764","12","100"
"0711002","151800","3007","74","1263","5.859065716","104","71.153846153"
"0711002","151800","3014","54","1263","4.275534441","54","100"
"0711002","151800","4000","78","1263","6.175771971","79","98.734177215"
"0711002","151800","4001","16","1263","1.266825019","16","100"
"0711002","151800","4002","38","1263","3.008709422","38","100"
"0711002","151800","4003","19","1263","1.504354711","19","100"
"0711002","151800","4004","24","1263","1.900237529","24","100"
"0711002","151800","4005","25","1263","1.979414093","25","100"
"0711002","151800","4006","63","1263","4.988123515","63","100"
"0711002","151800","4007","1","1263","0.079176563","108","0.925925925"
"0711002","151800","4010","1","1263","0.079176563","1","100"
"0711002","152000","2000","30","1263","2.375296912","30","100"
"0711002","152203","3001","6","1263","0.475059382","164","3.658536585"
"0711003","151701","1000","40","2266","1.765225066","42","95.238095238"
"0711003","151701","1001","56","2266","2.471315092","56","100"
"0711003","151701","1002","25","2266","1.103265666","25","100"
"0711003","151701","1003","18","2266","0.794351279","18","100"
"0711003","151701","1004","34","2266","1.500441306","34","100"
"0711003","151701","1005","32","2266","1.412180052","32","100"
"0711003","151701","1006","36","2266","1.588702559","36","100"
"0711003","151701","1008","7","2266","0.308914386","7","100"
"0711003","151701","1012","11","2266","0.485436893","11","100"
"0711003","151701","1014","54","2266","2.383053839","54","100"
"0711003","151701","1017","1","2266","0.044130626","14","7.142857142"
"0711003","151701","1018","60","2266","2.647837599","60","100"
"0711003","151702","1000","249","2266","10.988526037","251","99.20318725"
"0711003","151702","1001","33","2266","1.456310679","34","97.058823529"
"0711003","151702","1002","24","2266","1.059135039","24","100"
"0711003","151702","1003","56","2266","2.471315092","56","100"
"0711003","151702","3000","261","2266","11.518093556","261","100"
"0711003","151702","3001","148","2266","6.531332744","148","100"
"0711003","151702","3002","34","2266","1.500441306","34","100"
"0711003","151702","3003","66","2266","2.912621359","66","100"
"0711003","151702","3004","66","2266","2.912621359","66","100"
"0711003","151702","3005","44","2266","1.941747572","44","100"
"0711003","151702","3006","89","2266","3.927625772","93","95.698924731"
"0711003","151800","1000","54","2266","2.383053839","54","100"
"0711003","151800","1001","96","2266","4.236540158","232","41.379310344"
"0711003","151800","1011","39","2266","1.721094439","39","100"
"0711003","151800","1012","91","2266","4.015887025","91","100"
"0711003","151800","2000","58","2266","2.559576345","58","100"
"0711003","151800","2001","57","2266","2.515445719","57","100"
"0711003","151800","2002","65","2266","2.868490732","65","100"
"0711003","151800","2003","24","2266","1.059135039","25","96"
"0711003","151800","3000","44","2266","1.941747572","44","100"
"0711003","151800","3007","29","2266","1.279788172","104","27.884615384"
"0711003","151800","3009","22","2266","0.970873786","22","100"
"0711003","151800","3011","56","2266","2.471315092","56","100"
"0711003","151800","3012","37","2266","1.632833186","37","100"
"0711003","151800","3013","40","2266","1.765225066","40","100"
"0711003","151800","5000","54","2266","2.383053839","55","98.181818181"
"0711003","151800","5003","56","2266","2.471315092","56","100"
"0711004","151800","4000","1","847","0.118063754","79","1.265822784"
"0711004","151800","4007","107","847","12.632821723","108","99.074074074"
"0711004","151800","4008","32","847","3.778040141","32","100"
"0711004","151800","4009","34","847","4.01416765","34","100"
"0711004","151800","4011","33","847","3.896103896","33","100"
"0711004","151800","4012","207","847","24.439197166","207","100"
"0711004","151800","4013","43","847","5.07674144","43","100"
"0711004","151800","4014","18","847","2.125147579","18","100"
"0711004","151800","4015","34","847","4.01416765","34","100"
"0711004","151800","4016","22","847","2.597402597","22","100"
"0711004","151800","4017","68","847","8.028335301","79","86.075949367"
"0711004","151800","4019","124","847","14.639905548","124","100"
"0711004","151800","4020","69","847","8.146399055","69","100"
"0711004","151800","4021","54","847","6.375442739","54","100"
"0711004","151900","2000","1","847","0.118063754","105","0.952380952"
"0711005","151800","1006","1","694","0.144092219","21","4.761904761"
"0711005","152203","1016","1","694","0.144092219","25","4"
"0711005","152203","3000","21","694","3.025936599","23","91.304347826"
"0711005","152203","3001","156","694","22.478386167","164","95.121951219"
"0711005","152203","3002","23","694","3.314121037","23","100"
"0711005","152203","3003","27","694","3.890489913","27","100"
"0711005","152203","3015","27","694","3.890489913","27","100"
"0711005","152203","3016","139","694","20.028818443","139","100"
"0711005","152204","4007","125","694","18.011527377","125","100"
"0711005","152204","4008","17","694","2.449567723","17","100"
"0711005","152204","4010","25","694","3.602305475","25","100"
"0711005","152300","3026","14","694","2.017291066","18","77.777777777"
"0711005","152401","1015","38","694","5.475504322","38","100"
"0711005","152401","1016","80","694","11.527377521","80","100"
"0711006","152204","1015","1","2068","0.048355899","50","2"
"0711006","152204","2000","166","2068","8.027079303","166","100"
"0711006","152204","2001","73","2068","3.529980657","75","97.333333333"
"0711006","152204","2002","52","2068","2.514506769","52","100"
"0711006","152204","2003","42","2068","2.030947775","42","100"
"0711006","152204","2004","20","2068","0.967117988","20","100"
"0711006","152204","2005","248","2068","11.992263056","254","97.637795275"
"0711006","152204","2006","137","2068","6.62475822","137","100"
"0711006","152204","2007","50","2068","2.41779497","50","100"
"0711006","152204","2008","34","2068","1.64410058","35","97.142857142"
"0711006","152204","2010","35","2068","1.692456479","35","100"
"0711006","152204","2011","27","2068","1.305609284","27","100"
"0711006","152204","2012","100","2068","4.835589941","100","100"
"0711006","152204","2013","23","2068","1.112185686","23","100"
"0711006","152204","4001","306","2068","14.796905222","383","79.895561357"
"0711006","152204","4002","49","2068","2.369439071","49","100"
"0711006","152204","4003","19","2068","0.918762088","19","100"
"0711006","152204","4012","9","2068","0.435203094","9","100"
"0711006","152204","4013","11","2068","0.531914893","11","100"
"0711006","152205","1000","134","2068","6.479690522","138","97.101449275"
"0711006","152205","1001","158","2068","7.640232108","160","98.75"
"0711006","152205","1002","29","2068","1.402321083","29","100"
"0711006","152205","1003","120","2068","5.80270793","123","97.560975609"
"0711006","152205","1004","1","2068","0.048355899","3","33.333333333"
"0711006","152205","1007","72","2068","3.481624758","72","100"
"0711006","152205","1008","1","2068","0.048355899","23","4.347826086"
"0711006","152205","1009","9","2068","0.435203094","9","100"
"0711006","152205","1010","3","2068","0.145067698","3","100"
"0711006","152401","1000","1","2068","0.048355899","326","0.306748466"
"0711006","152401","1028","124","2068","5.996131528","128","96.875"
"0711006","152401","1029","1","2068","0.048355899","20","5"
"0711006","152401","1031","8","2068","0.386847195","9","88.888888888"
"0711006","152401","3009","1","2068","0.048355899","38","2.631578947"
"0711006","152501","1019","4","2068","0.193423597","5","80"
"0711007","152401","3002","1","77","1.298701298","14","7.142857142"
"0711007","152401","3003","3","77","3.896103896","10","30"
"0711007","152401","3005","1","77","1.298701298","12","8.333333333"
"0711007","152401","3009","36","77","46.753246753","38","94.736842105"
"0711007","152401","3010","23","77","29.87012987","23","100"
"0711007","152601","1026","1","77","1.298701298","20","5"
"0711007","152601","1030","10","77","12.987012987","10","100"
"0711007","152601","1031","2","77","2.597402597","5","40"
"0711008","152204","2001","2","922","0.216919739","75","2.666666666"
"0711008","152401","1008","1","922","0.108459869","4","25"
"0711008","152401","1029","1","922","0.108459869","20","5"
"0711008","152401","1030","11","922","1.193058568","23","47.826086956"
"0711008","152401","2011","1","922","0.108459869","71","1.408450704"
"0711008","152401","2012","1","922","0.108459869","11","9.09090909"
"0711008","152401","3006","1","922","0.108459869","37","2.702702702"
"0711008","152401","3007","173","922","18.763557483","174","99.425287356"
"0711008","152401","3008","161","922","17.462039045","165","97.575757575"
"0711008","152401","3011","202","922","21.908893709","202","100"
"0711008","152401","3017","64","922","6.94143167","65","98.461538461"
"0711008","152401","3018","22","922","2.386117136","22","100"
"0711008","152401","3020","25","922","2.711496746","25","100"
"0711008","152401","3023","63","922","6.8329718","63","100"
"0711008","152401","3026","70","922","7.592190889","70","100"
"0711008","152401","3027","37","922","4.013015184","37","100"
"0711008","152402","2009","78","922","8.459869848","80","97.5"
"0711008","152402","2013","9","922","0.976138828","38","23.684210526"
"0711009","152502","1001","168","1611","10.4283054","168","100"
"0711009","152502","1002","39","1611","2.42085661","39","100"
"0711009","152502","1003","186","1611","11.545623836","186","100"
"0711009","152502","1004","139","1611","8.628181253","141","98.581560283"
"0711009","152502","1007","58","1611","3.600248292","66","87.878787878"
"0711009","152502","2000","90","1611","5.586592178","94","95.744680851"
"0711009","152502","2002","147","1611","9.124767225","152","96.710526315"
"0711009","152502","2003","31","1611","1.924270639","111","27.927927927"
"0711009","152502","2004","6","1611","0.372439478","17","35.294117647"
"0711009","152502","3006","1","1611","0.062073246","27","3.703703703"
"0711009","152601","1028","4","1611","0.248292985","4","100"
"0711009","152601","2012","3","1611","0.186219739","5","60"
"0711009","152601","2013","187","1611","11.607697082","227","82.378854625"
"0711009","152601","2014","161","1611","9.993792675","161","100"
"0711009","152601","2015","15","1611","0.931098696","17","88.235294117"
"0711009","152601","5000","52","1611","3.227808814","52","100"
"0711009","152601","5001","30","1611","1.862197392","34","88.235294117"
"0711009","152601","5002","79","1611","4.903786468","79","100"
"0711009","152601","5003","36","1611","2.234636871","36","100"
"0711009","152601","5004","41","1611","2.545003103","41","100"
"0711009","152601","5005","45","1611","2.793296089","45","100"
"0711009","152601","5006","34","1611","2.110490378","75","45.333333333"
"0711009","152601","5007","29","1611","1.800124146","29","100"
"0711009","152601","5008","19","1611","1.179391682","37","51.351351351"
"0711009","152601","5009","11","1611","0.68280571","24","45.833333333"
"0711010","152204","1000","76","1842","4.125950054","76","100"
"0711010","152204","1001","7","1842","0.380021715","7","100"
"0711010","152204","1002","52","1842","2.823018458","52","100"
"0711010","152204","1003","102","1842","5.537459283","102","100"
"0711010","152204","1004","36","1842","1.954397394","159","22.641509433"
"0711010","152204","3000","69","1842","3.745928338","69","100"
"0711010","152204","3001","165","1842","8.957654723","221","74.660633484"
"0711010","152204","3002","16","1842","0.868621064","35","45.714285714"
"0711010","152204","3003","31","1842","1.682953311","31","100"
"0711010","152204","3004","22","1842","1.194353963","22","100"
"0711010","152204","3005","48","1842","2.605863192","48","100"
"0711010","152204","3006","54","1842","2.931596091","56","96.428571428"
"0711010","152204","3007","2","1842","0.108577633","35","5.714285714"
"0711010","152204","4000","71","1842","3.854505971","71","100"
"0711010","152205","2000","29","1842","1.574375678","34","85.294117647"
"0711010","152205","2003","17","1842","0.92290988","41","41.463414634"
"0711010","152205","2004","174","1842","9.446254071","179","97.20670391"
"0711010","152205","2006","136","1842","7.383279044","136","100"
"0711010","152205","2007","5","1842","0.271444082","5","100"
"0711010","152205","2008","51","1842","2.768729641","51","100"
"0711010","152205","2009","9","1842","0.488599348","9","100"
"0711010","152205","2010","91","1842","4.940282301","91","100"
"0711010","152205","2011","18","1842","0.977198697","18","100"
"0711010","152205","2012","51","1842","2.768729641","51","100"
"0711010","152501","2003","1","1842","0.054288816","5","20"
"0711010","152502","1006","49","1842","2.660152008","49","100"
"0711010","152502","1007","8","1842","0.434310532","66","12.121212121"
"0711010","152502","1008","85","1842","4.614549402","85","100"
"0711010","152502","1009","29","1842","1.574375678","29","100"
"0711010","152502","1010","39","1842","2.117263843","39","100"
"0711010","152502","1011","71","1842","3.854505971","71","100"
"0711010","152502","1012","44","1842","2.388707926","44","100"
"0711010","152502","2006","106","1842","5.754614549","116","91.379310344"
"0711010","152502","2007","26","1842","1.411509229","50","52"
"0711010","152502","2008","1","1842","0.054288816","20","5"
"0711010","152502","2011","24","1842","1.302931596","24","100"
"0711010","152502","2012","1","1842","0.054288816","4","25"
"0711010","152502","2013","1","1842","0.054288816","3","33.333333333"
"0711010","152502","2014","1","1842","0.054288816","1","100"
"0711010","152502","2015","1","1842","0.054288816","21","4.761904761"
"0711010","152502","2019","23","1842","1.248642779","29","79.310344827"
"0711011","152501","1005","14","1957","0.715380684","26","53.846153846"
"0711011","152601","2004","46","1957","2.350536535","97","47.422680412"
"0711011","152601","2007","232","1957","11.854879918","236","98.305084745"
"0711011","152601","2013","40","1957","2.043944813","227","17.621145374"
"0711011","152601","2016","40","1957","2.043944813","271","14.760147601"
"0711011","152601","3000","85","1957","4.343382728","85","100"
"0711011","152601","3001","42","1957","2.146142054","42","100"
"0711011","152601","3002","54","1957","2.759325498","54","100"
"0711011","152601","3003","168","1957","8.584568216","168","100"
"0711011","152601","3005","46","1957","2.350536535","46","100"
"0711011","152601","3006","43","1957","2.197240674","43","100"
"0711011","152601","3007","31","1957","1.58405723","31","100"
"0711011","152601","3008","128","1957","6.540623403","145","88.275862068"
"0711011","152601","3009","56","1957","2.861522738","56","100"
"0711011","152601","3010","18","1957","0.919775166","18","100"
"0711011","152601","3011","32","1957","1.63515585","32","100"
"0711011","152601","4000","104","1957","5.314256515","104","100"
"0711011","152601","4001","80","1957","4.087889626","80","100"
"0711011","152601","4002","107","1957","5.467552376","107","100"
"0711011","152601","4003","40","1957","2.043944813","40","100"
"0711011","152601","4004","94","1957","4.803270311","94","100"
"0711011","152601","4005","67","1957","3.423607562","80","83.75"
"0711011","152601","4006","85","1957","4.343382728","85","100"
"0711011","152601","4007","92","1957","4.701073071","92","100"
"0711011","152601","4008","25","1957","1.277465508","25","100"
"0711011","152601","4009","31","1957","1.58405723","63","49.206349206"
"0711011","152601","4010","33","1957","1.686254471","121","27.272727272"
"0711011","152601","5006","41","1957","2.095043433","75","54.666666666"
"0711011","152601","5008","18","1957","0.919775166","37","48.648648648"
"0711011","152601","5009","13","1957","0.664282064","24","54.166666666"
"0711011","152601","5010","52","1957","2.657128257","52","100"
"0711012","152501","1002","6","1304","0.460122699","59","10.169491525"
"0711012","152601","2016","230","1304","17.638036809","271","84.870848708"
"0711012","152601","2017","58","1304","4.44785276","58","100"
"0711012","152601","2018","163","1304","12.5","169","96.449704142"
"0711012","152601","2019","29","1304","2.22392638","29","100"
"0711012","152601","2020","21","1304","1.610429447","21","100"
"0711012","152601","2021","32","1304","2.45398773","32","100"
"0711012","152601","2022","23","1304","1.76380368","23","100"
"0711012","152601","2023","33","1304","2.530674846","33","100"
"0711012","152601","2024","101","1304","7.745398773","101","100"
"0711012","152601","2025","52","1304","3.987730061","52","100"
"0711012","152601","2026","68","1304","5.214723926","68","100"
"0711012","152601","2027","32","1304","2.45398773","32","100"
"0711012","152601","2028","78","1304","5.981595092","78","100"
"0711012","152601","2029","42","1304","3.220858895","44","95.454545454"
"0711012","152601","2030","7","1304","0.536809815","59","11.864406779"
"0711012","152601","2032","1","1304","0.076687116","14","7.142857142"
"0711012","152601","3008","17","1304","1.303680981","145","11.724137931"
"0711012","152601","4005","13","1304","0.996932515","80","16.25"
"0711012","152601","4009","32","1304","2.45398773","63","50.793650793"
"0711012","152601","4010","88","1304","6.748466257","121","72.727272727"
"0711012","152601","4011","53","1304","4.064417177","53","100"
"0711012","152601","4012","25","1304","1.917177914","27","92.592592592"
"0711012","152602","1058","2","1304","0.153374233","26","7.692307692"
"0711012","152602","1059","11","1304","0.843558282","16","68.75"
"0711012","152602","1060","66","1304","5.061349693","66","100"
"0711012","152602","1061","11","1304","0.843558282","38","28.947368421"
"0711012","152602","1064","10","1304","0.766871165","157","6.369426751"
"0711013","151601","2013","8","2267","0.35288928","10","80"
"0711013","151601","2019","182","2267","8.028231142","182","100"
"0711013","151601","2020","25","2267","1.102779003","25","100"
"0711013","151601","2021","9","2267","0.397000441","9","100"
"0711013","151601","2022","38","2267","1.676224084","38","100"
"0711013","151601","2023","58","2267","2.558447287","58","100"
"0711013","151601","3000","29","2267","1.279223643","29","100"
"0711013","151601","3001","42","2267","1.852668725","42","100"
"0711013","151601","3002","39","2267","1.720335244","39","100"
"0711013","151601","3003","171","2267","7.543008381","171","100"
"0711013","151601","3004","14","2267","0.617556241","14","100"
"0711013","151601","3011","179","2267","7.895897662","179","100"
"0711013","151601","3012","22","2267","0.970445522","22","100"
"0711013","151601","3013","25","2267","1.102779003","25","100"
"0711013","151602","1002","5","2267","0.2205558","69","7.246376811"
"0711013","151602","1006","5","2267","0.2205558","9","55.555555555"
"0711013","151602","1007","72","2267","3.176003528","81","88.888888888"
"0711013","151602","1008","18","2267","0.794000882","18","100"
